input_text,score,music_prompt
date:2025-07-03 time:13:09:00 bpm:71 cal:1.05042 sedentary:1 steps:- asleep:- eff:- rem:- deep:- wake:-,4,Gentle dawn melodies with soft echoes
date:2025-07-03 time:13:20:00 bpm:93 cal:1.05042 sedentary:1 steps:- asleep:- eff:- rem:- deep:- wake:-,3,Gentle dawn melodies with soft echoes
date:2025-07-03 time:13:22:00 bpm:93 cal:1.05042 sedentary:1 steps:- asleep:- eff:- rem:- deep:- wake:-,2,Gentle acoustic echoes with soft echoes
date:2025-07-03 time:13:25:00 bpm:93 cal:1.05042 sedentary:1 steps:- asleep:- eff:- rem:- deep:- wake:-,1,Gentle lullaby with serene echoes
date:2025-07-03 time:13:28:00 bpm:97 cal:1.05042 sedentary:1 steps:- asleep:- eff:- rem:- deep:- wake:-,5,Soft lullaby with gentle pulses
date:2025-07-03 time:13:31:00 bpm:97 cal:1.05042 sedentary:1 steps:- asleep:- eff:- rem:- deep:- wake:-,2,Gentle nocturnal rhythms with soft echoes
date:2025-07-03 time:13:35:00 bpm:97 cal:1.05042 sedentary:1 steps:- asleep:- eff:- rem:- deep:- wake:-,3,Gentle nocturnal harmonies with serene echoes
date:2025-07-03 time:13:39:00 bpm:97 cal:1.05042 sedentary:1 steps:- asleep:- eff:- rem:- deep:- wake:-,4,Gentle dawn melodies with soft harmonies
date:2025-07-05 time:16:13:00 bpm:111 cal:1.05042 sedentary:1 steps:- asleep:- eff:- rem:- deep:- wake:-,2,Soft ethereal drones with gentle echoes
date:2025-07-05 time:17:46:00 bpm:109 cal:1.05042 sedentary:1 steps:- asleep:- eff:- rem:- deep:- wake:-,2,"Gentle, ethereal drones with soft echoes"
